inci_id,offense,date_rept,street,latitude,longitude,date_occu,csstatus
2003017890,,12/3/03 0:00,PITTSBORO/NEWMAN CENTER,35.90885129999999,-79.0551521,12/3/03 0:00,
2003017891,,12/3/03 0:00,HANES ART CENTER UNC,35.9123693,-79.0543987,12/3/03 0:00,
2003017875,LARCENY/MISDEMEANOR,12/3/03 8:00,LENOIR UNC,35.9114163,-79.04823909999999,12/2/03 7:00,2
2003017881,TRESPASSING - SECOND DEGREE,12/3/03 15:20,DAVIS WALTER R LIBRARY UNC,35.9049122,-79.0469134,12/3/03 15:00,2
2003017882,POLICE INFORMATION REPORT,12/4/03 0:00,BELL TOWER PVA,Failure on BELL TOWER PVA,Failure on BELL TOWER PVA,11/10/03 0:00,2
2003017892,,12/4/03 0:00,GENERAL ADMINISTRATION UNC,35.908746,-79.0295977,12/4/03 0:00,
2003017893,,12/4/03 0:00,GENERAL ADMINISTRATION UNC,35.908746,-79.0295977,12/4/03 0:00,
2003017894,,12/4/03 0:00,FRANKLIN ST EXXON,35.935981,-79.026921,12/4/03 0:00,
2003017895,,12/4/03 0:00,OUTDOOR RECREATION PARKING LOT UNC,Failure on OUTDOOR RECREATION PARKING LOT UNC,Failure on OUTDOOR RECREATION PARKING LOT UNC,12/4/03 0:00,
2003017896,DRUGS- EQUIPMENT/PARAPHERNALIA - POSSESSING/C,12/4/03 0:00,CRAIGE UNC,35.9027323,-79.0451087,12/4/03 0:00,3
2003017897,,12/4/03 0:00,SOUTH COLUMBIA//ABERNATHY,33.9575481,-80.935029,12/4/03 0:00,
2003017898,,12/4/03 0:00,MANNING DR/RIDGE RD,33.5785008,-80.2214753,12/4/03 0:00,
2003017899,LARCENY FROM A VEHICLE,12/4/03 21:07,CARMICHAEL RES HALL UNC,35.9082038,-79.04584299999999,12/4/03 20:30,4
2003017900,,12/5/03 0:00,SOUITH RD/LAW SCHOOL,29.7239172,-95.33808119999999,12/5/03 0:00,
2003017901,,12/5/03 0:00,W CAMERON AVE/KENAN ST,35.9087874,-79.05933809999999,12/5/03 0:00,
2003017902,TRESPASS WARNING ISSUED,12/5/03 0:00,6TH FLOOR OF DAVIS LIBRARY,38.5396562,-121.7495201,12/5/03 0:00,2
2003017904,,12/5/03 0:00,RIDGE RD,41.2580425,-81.7449204,12/5/03 0:00,
2003017907,,12/5/03 0:00,MANNING PARKING LOT UNC,35.902462,-79.05161700000001,12/5/03 0:00,
2003017908,BURGLARY - BREAKING/ENTER- BE&L,12/5/03 0:00,HINTON JAMES UNC,35.9020881,-79.0427632,12/5/03 0:00,3
2003017909,,12/5/03 0:00,MANNING @ EAST,35.9034002,-79.0516384,12/5/03 0:00,
2003017911,LARCENY/MISDEMEANOR,12/5/03 0:00,LENOIR UNC,35.9114163,-79.04823909999999,12/4/03 0:00,4
2003017912,LARCENY/MISDEMEANOR,12/5/03 0:00,PHILLIPS UNC,35.910878,-79.0525881,12/1/03 0:00,4
2003017913,BURGLARY - BREAKING/ENTER- BE&L,12/5/03 0:00,MORRISON UNC,35.9045132,-79.0462075,12/5/03 0:00,3
2003017914,,12/5/03 0:00,COUNTRY CLUB AND RALEIGH RD,35.9109365,-79.0417719,12/5/03 0:00,
2003017916,,12/5/03 0:00,CAMERON,30.8532454,-96.9769304,12/5/03 0:00,
2003017903,BURGLARY - BREAKING/ENTER- BE&L,12/5/03 2:38,MORRISON UNC,Failure on MORRISON UNC,Failure on MORRISON UNC,12/5/03 2:30,3
2003017905,LARCENY/MISDEMEANOR,12/5/03 8:19,TRAILER L UNC,35.871059,-80.156416,12/5/03 7:50,3
2003017910,LARCENY FROM A BUILDING,12/5/03 14:32,MORRISON UNC,35.9045132,-79.0462075,12/1/03 8:00,2
2003017919,BURGLARY - BREAKING/ENTER- BE&L,12/5/03 22:30,MORRISON UNC,35.9045132,-79.0462075,12/5/03 0:00,3
2003017915,LOST PURSE,12/5/03 22:57,PAUL GRN THEATRE UNC,35.9118408,-79.0438477,12/5/03 22:55,2
2003017922,LARCENY/MISDEMEANOR,12/6/03 0:00,AVERY UNC,35.9044647,-79.04482709999999,12/6/03 0:00,3
2003017923,DAMAGE TO REAL PROPERTY,12/6/03 0:00,MORRISON UNC,35.9045132,-79.0462075,12/6/03 0:00,2
2003017924,,12/6/03 0:00,MANNING DR/PUB SAFETY,35.90359,-79.04679999999999,12/6/03 0:00,
2003017927,,12/6/03 0:00,MANNING NEAR ENT TO DENTAL SCHOOL,Failure on MANNING NEAR ENT TO DENTAL SCHOOL,Failure on MANNING NEAR ENT TO DENTAL SCHOOL,12/6/03 0:00,
