inci_id,offense,date_rept,street,date_occu,csstatus,dispostn,
2002028617,OBTAINING PROPERTY,12/4/02 0:00,COGENERATION FACILITY UNC,11/21/02 0:00,1,C,
2002028754,HARASSMENT,12/4/02 0:00,BEARD HALL UNC,12/4/02 0:00,2,,
2002028761,LARCENY-FELONY,12/4/02 0:00,GENERAL ADMINISTRATION UNC,12/4/02 0:00,4,,
2002028785,LARCENY - MISDEMEANOR,12/4/02 0:00,HINTON JAMES UNC,11/19/02 0:00,1,,
2002028782,LARCENY - FREE TEXT LARCENY ALL OTHER,12/4/02 12:36,MITCHELL UNC,12/4/02 12:15,4,,
2002028841,CALLS FOR SERVICE,12/5/02 0:00,MORRISON SOUTH UNC,12/5/02 0:00,2,,
2002028873,CALLS FOR SERVICE,12/5/02 0:00,HIBBARD DR,12/5/02 0:00,2,,
2002028878,CALLS FOR SERVICE,12/5/02 0:00,PUBLIC SAFETY BUILDING UNC,12/5/02 0:00,2,,
2002028902,CALLS FOR SERVICE,12/5/02 0:00,HWY 54 PARKING LOT,12/4/02 0:00,2,,
2002028905,CALLS FOR SERVICE,12/5/02 0:00,BRANSON ST,12/5/02 0:00,2,,
2002028914,CALLS FOR SERVICE-DAMAGE TO VEHICLE,12/5/02 0:00,S COLUMBIA ST/MANNING DR,12/4/02 0:00,2,,
2002028936,LARCENY - MISDEMEANOR,12/5/02 0:00,BUSINESS SCHOOL PARKIN UNC,12/5/02 0:00,4,,
2002028897,ALL OTHER - EMS ASSIST,12/5/02 13:15,HANES UNC/,12/5/02 13:07,2,,
2002029018,PROPERTY DAMAGE BY ICE,12/6/02 0:00,BELL TOWER LOT-OLD INTERNS QUARTERS,12/6/02 0:00,2,,
2002029083,BUILDING FLOOD (DAVIE HALL),12/7/02 0:00,DAVIE UNC,12/7/02 0:00,2,,
2002029110,FOUND PROPERTY,12/7/02 0:00,SMITH DEAN E SAC UNC,12/7/02 0:00,2,,
2002029145,ASSAULT SIMPLE - ALL OTHER,12/8/02 0:00,WOOLLEN GYM UNC,12/8/02 0:00,3,2,
2002029162,VANDALISM - DAMAGING COIN OR CURRENCY-OPERATED MACHINE,12/8/02 0:00,BRAUER UNC,12/7/02 0:00,4,,
2002029168,CALLS FOR SERVICE,12/8/02 0:00,TEAGUE UNC,12/8/02 0:00,4,,
2002029224,LARCENY FROM A VEHICLE,12/9/02 0:00,STEELE UNC,12/8/02 0:00,4,,
2002029249,CALLS FOR SERVICE,12/9/02 0:00,HA II DOGWOOD PARKING UNC,12/9/02 0:00,2,,
2002029256,CALLS FOR SERVICE,12/9/02 0:00,3031 UNIVERSITY DRIVE,12/9/02 0:00,2,,
2002029258,SUSPICIOUS CONDITIONS,12/9/02 0:00,RALEIGH RD,12/4/02 13:06,2,,
2002029259,VANDALISM - DAMAGE TO REAL PROPERTY,12/9/02 0:00,BOUNDARY ST,12/8/02 0:00,2,,
2002029261,CALLS FOR SERVICE,12/9/02 0:00,LENOIR UNC,12/9/02 0:00,2,,
2002029268,CALLS FOR SERVICE,12/9/02 0:00,VAN HECKEWETTCH UNC,12/9/02 14:37,2,,
2002029257,SUSPICIOUS CONDITIONS,12/9/02 12:27,PEABODY UNC,12/9/02 0:00,2,,
2002029285,LARCENY FROM A VEHICLE,12/10/02 0:00,FRIDAY CENTER UNC,12/9/02 0:00,4,,
2002029325,LARCENY FROM A VEHICLE,12/10/02 0:00,HINTON JAMES UNC,12/8/02 0:00,4,,
2002029340,HARASSING PHONE CALL,12/10/02 0:00,RUFFIN UNC,12/9/02 0:00,4,,
2002029354,CALLS FOR SERVICE,12/10/02 0:00,MCCOLL BUSINESS SCHOOL UNC,12/10/02 0:00,2,,
2002029362,LARCENY FROM BUILDING,12/10/02 0:00,DENTAL RESEARCH UNC,12/10/02 0:00,4,,
2002029365,LARCENY FROM BUILDING,12/10/02 0:00,RALEIGH RD,12/4/02 16:01,2,,
2002029366,CALLS FOR SERVICE,12/10/02 0:00,AMBULATORY CARE CENTER UNC,12/10/02 0:00,2,,
2002029394,VANDALISM - DAMAGE TO REAL PROPERTY,12/11/02 0:00,SMITH DEAN E SAC UNC,12/10/02 0:00,2,,
2002029395,CALLS FOR SERVICE,12/11/02 0:00,HINTON JAMES UNC,12/11/02 0:00,2,,
2002029415,LARCENY FROM A VEHICLE,12/11/02 0:00,HA II DOGWOOD PARKING UNC,12/10/02 0:00,4,,
2002029471,LARCENY FROM A VEHICLE,12/11/02 20:13,HINTON JAMES UNC,12/8/02 0:00,4,,
2002029501,B&E,12/12/02 0:00,COBB UNC,12/11/02 0:00,2,,
2002029505,LARCENY FROM BUILDING,12/12/02 0:00,VAN HECKEWETTCH UNC,11/22/02 0:00,4,,
2002029587,LARCENY/MISDEMEANOR,12/13/02 0:00,UNC-CH,12/13/02 0:00,4,,
2002029560,CALLS FOR SERVICE,12/13/02 2:29,HANNA ST,12/13/02 2:29,2,,
2002029627,LARCENY - FREE TEXT LARCENY ALL OTHER,12/13/02 6:40,NEUROPSYCH HOSP 7TH UNC,12/13/02 6:30,4,,
2002029589,MV THEFT - AUTOMOBILE,12/13/02 12:39,HINTON JAMES UNC,12/5/02 12:00,4,,
2002029646,DWI-ALCOHOL,12/14/02 0:00,SOUTH RD,12/14/02 0:00,3,2,
2002029678,LARCENY - MISDEMEANOR,12/14/02 0:00,CAROLINA INN UNC,12/11/02 0:00,4,,
2002029723,WEAP-SCHOOL PROPERTY,12/15/02 0:00,COUNTRY CLUB RD,12/15/02 0:00,3,2,
2002029733,BURGLARY - BREAKING/ENTER- BE&L,12/15/02 0:00,MANNING UNC,12/6/02 0:00,4,,
2002029756,LARCENY/MISDEMEANOR,12/16/02 0:00,HOUSE LIBRARY R B UNC,12/16/02 0:00,4,,
2002029818,DWI-ALCOHOL,12/17/02 0:00,E CAMERON AVE,12/17/02 0:00,3,2,
2002029857,LARCENY - MISDEMEANOR,12/17/02 0:00,AVERY UNC,12/17/02 0:00,2,,
2002029866,LARCENY FROM A VEHICLE,12/17/02 0:00,FRANKLN ST 440 W UNC,12/16/02 0:00,4,,
2002029860,LARCENY - MISDEMEANOR (BOOKBAG),12/17/02 13:43,DAVIS WALTER R LIBRARY UNC,12/17/02 0:00,3,C,
2002029892,ADW-FIREARM/KNIFE,12/18/02 0:00,AVERY UNC,12/17/02 0:00,3,2,
2002029936,LARCENY-FELONY,12/18/02 0:00,AYCOCK FAMILY MEDICINE UNC,12/18/02 0:00,4,,
2002030026,LARCENY/MISDEMEANOR,12/20/02 0:00,MCGAVRANGREENBERG HAL UNC,12/19/02 0:00,2,,
2002030075,LARCENY - MISDEMEANOR,12/20/02 0:00,CENTER FOR DRAMATIC ART BOX OFFICE,12/19/02 0:00,4,,
2002030127,DWI-ALCOHOL,12/22/02 0:00,AYCOCK UNC,12/22/02 0:00,3,2,
2002030158,DRIVING WHILE LICENSE REVOKED GS 20-28,12/23/02 0:00,S COLUMBIA ST/MCCAULEY ST,12/23/02 0:00,3,C,
2002030179,LARCENY - MISDEMEANOR,12/23/02 0:00,SNACK,12/23/02 0:00,3,2,
2002030198,LARCENY - B & E INTO COIN OR CURRENCY OPERATED MACHINE,12/24/02 0:00,BRAUER UNC/,12/24/02 0:00,2,,
2002030335,VANDALISM - INJURIES OR TAMPERS WITH VEHICLE,12/28/02 0:00,HILL UNC,12/27/02 0:00,2,,
2002030389,VANDALISM DEFACING PUBLIC PROPERTY,12/30/02 0:00,HEALTH AFFAIRS BOOKSTO UNC,12/24/02 0:00,2,,
2002030427,CALLS FOR SERVICE,12/30/02 0:00,AMBULATORY CARE CENTER UNC,12/30/02 0:00,2,,
2002030405,VANDALISM - DAMAGE TO REAL PRO,12/30/02 8:29,MACNIDER UNC,12/23/02 4:30,2,,
2003000055,SUSPICIOUS CONDITION,1/1/03 0:00,DAVIE UNC,10/1/02 0:00,2,,
2003000030,OBTAIN PROPERTY - GWC/ BY FALSE PRETENSE,1/1/03 23:55,JACKSON CIR,12/17/02 23:56,3,U,
2003000063,LARCENY-FELONY,1/2/03 0:00,MED SCH WINGS E & F UNC,12/13/02 0:00,4,,
2003000086,B & E,1/3/03 9:53,FINLEY CLUB HOUSE UNC,1/3/03 0:00,2,,
2003000135,LARCENY FROM A VEHICLE,1/4/03 0:00,HA II DOGWOOD PARKING UNC,1/3/03 0:00,2,,
2003000157,VANDALISM - DAMAGE TO REAL PRO,1/4/03 0:00,KNAPP UNC,1/3/03 0:00,2,,
2003000166,INTRUSION ALARM,1/4/03 0:00,FINLEY GLF CRSE RD 212 UNC,1/4/03 0:00,2,,
2003000243,VANDALISM - DAMAGE TO REAL PROPERTY,1/6/03 0:00,STACY UNC,1/6/03 0:00,2,,
2003000257,LARCENY FROM A VEHICLE,1/6/03 0:00,COBB UNC,1/5/03 0:00,4,,
2003000273,CALLS FOR SERVICE,1/6/03 0:00,AMBULATORY CARE CENTER UNC,1/6/03 0:00,2,,
2003000286,LARCENY - FROM BUILDING,1/6/03 0:00,TATE TURNER KURALT BLG UNC,12/27/02 0:00,4,,
2003000302,TREE LIMB FELL ON CAR,1/6/03 0:00,SPRUNT ST,1/6/03 0:00,2,,
2003000316,LARCENY FROM A VEHICLE,1/6/03 0:00,TEAGUE UNC,1/5/03 0:00,2,,
2003000294,LARCENY - BREAKING AND ENTERING (MISDEMEANOR),1/7/03 0:00,MANNING DR,12/15/02 0:00,3,2,
2003000327,VANDALISM - DAMAGE TO PROPERTY OR PERSONAL PROP,1/7/03 0:00,PITTSBORO ST,1/7/03 0:00,2,,
2003000339,LARCENY FROM A VEHICLE,1/7/03 0:00,MASON FARM RD,1/5/03 0:00,4,,
2003000341,LARCENY/MISDEMEANOR,1/7/03 0:00,JOINT CHILD CARE CENTE UNC,1/6/03 0:00,2,,
2003000344,LARCENY/MISDEMEANOR,1/7/03 0:00,CAROLINA INN UNC,12/31/02 0:00,4,,
2003000356, DAMAGE TO PROPERTY OR PERSONAL PROP,1/7/03 0:00,TOTTEN GARDEN CENTER UNC,1/7/03 0:00,2,,
2003000380,LARCENY -FROM BUILDING,1/7/03 0:00,FETZER GYM ROBERT A UNC,1/7/03 0:00,2,,
2003000456,LARCENY - FROM BUILDING,1/8/03 0:00,GRAHAM STUDENT UNION UNC/,12/20/02 0:00,4,,
2003000487,LIQUOR - ALL OTHER LIQUOR LAW,1/8/03 0:00,SMITH DEAN E SAC UNC,1/8/03 0:00,3,C,
2003000559,LARCENY - MISDEMEANOR,1/9/03 0:00,GREENLAW UNC,1/9/03 0:00,2,,
2003000560,CALLS FOR SERVICE,1/9/03 0:00,HINTON JAMES UNC,1/9/03 0:00,2,,
2003000556,POLICE ASSISTANCE,1/9/03 15:54,TAYLOR STUDENT HEALTH UNC,1/9/03 0:00,3,R,
2003000643,VANDALISM - INJURIES OR TAMPERS WITH VEHICLE,1/10/03 0:00,PARK AND RIDE LOT AIRPORT ROAD,1/6/03 0:00,2,,
2003000662,SUSPICIOUS CONDITION-FIRE,1/10/03 0:00,DAVIS WALTER R LIBRARY UNC,1/10/03 0:00,2,,
2003000676,SUSPICIOUS CONDITION,1/11/03 0:00,UNC ARBORETUM,1/11/03 0:00,2,,
2003000680,CALLS FOR SERVICE,1/11/03 0:00,CRAIGE UNC,1/11/03 0:00,2,,
2003000682,DWI-ALCOHOL,1/11/03 0:00,COUNTRY CLUB RD/RIDGE RD,1/11/03 0:00,3,C,
2003000736,SUSPICIOUS CONDITION,1/12/03 0:00,ALDERMAN UNC,1/12/03 0:00,2,,
2003000741,VANDALISM - DAMAGE TO PROPERTY OR PERSONAL PROP,1/12/03 0:00,EXPRESS GRANVILLE TOWERS,1/12/03 0:00,2,,
2003000773,UNDERAGE POSSESSION G.S. 18B-302(B),1/12/03 0:00,S COLUMBIA ST,1/12/03 0:00,3,2,
2003000381,FOUND PROPERTY,1/13/03 0:00,BYNUM UNC,1/13/03 0:00,2,,
2003000816,EMS ASSIST,1/13/03 0:00,LENOIR UNC,1/13/03 0:00,2,,
2003000922,LARCENY - POCKET PICKING,1/14/03 0:00,HANES UNC,1/13/03 0:00,3,U,
2003000943,TRESPASSING - SECOND DEGREE-WARNING,1/14/03 0:00,WOOLLEN GYM UNC,1/14/03 0:00,2,,
2003000973,MV THEFT - AUTOMOBILE,1/14/03 0:00,HA II DOGWOOD PARKING UNC,1/14/03 0:00,4,,
2003001004,EMS ASIST REF SEIZURES,1/15/03 0:00,COUNTRY CLUB RD,1/15/03 0:00,2,,
2003001010,UNAUTHORIZED USE OF VEHICLE,1/15/03 0:00,AIRPORT RD,1/15/03 0:00,3,5,
2003001023,EMS ASSIST REF TABLE SAW ACCIDENT,1/15/03 0:00,PAUL GRN THEATRE UNC,1/15/03 0:00,2,,
2003001024,LARCENY OF LAPTOP COMPUTER,1/15/03 3:00,MANNING UNC,1/15/03 0:00,4,,
2003001091,LARCENY/MISDEMEANOR,1/16/03 0:00,S GREENSBORO ST,1/15/03 0:00,2,,
2003001101,LARCENY-FELONY,1/16/03 0:00,NEUROSCIENCES RESEARCH UNC,1/2/03 0:00,4,,
2003001102,CALLS FOR SERVICE/EMS ASSIST,1/16/03 0:00,PAUL GRN THEATRE UNC,1/16/03 0:00,2,,
2003001186,LARCENY/MISDEMEANOR,1/17/03 0:00,MANGUM UNC,1/16/03 0:00,2,,
2003001235,LARCENY FROM A VEHICLE,1/18/03 0:00,MOREHEAD PLANETARIUM UNC,1/17/03 0:00,4,,
2003001248,ARSON-1ST DEGREE,1/18/03 0:00,GRIMES UNC,1/17/03 0:00,4,,
2003001259,VANDALISM - DAMAGE TO PROPERTY OR PERSONAL PROP,1/18/03 0:00,STADIUM DR/BELL TOWER UNC,1/17/03 0:00,2,,
2003001295,VANDALISM - DAMAGE TO PROPERTY OR PERSONAL PROP,1/19/03 0:00,HINTON JAMES UNC,1/18/03 0:00,2,,
2003001326,CALLS FOR SERVICE,1/19/03 0:00,EHRINGHAUS UNC,1/16/03 0:00,2,,
2003001325,B & E,1/20/03 0:00,CRAIGE NORTH UNC,1/15/03 1:44,3,P,
2003001341,B & E,1/20/03 0:00,WINSTON UNC,1/17/03 0:00,4,,
2003001353,DRUG VIOLATION,1/20/03 12:43,MORRISON UNC,1/20/03 0:00,3,C,
2003001450,LARCENY-FELONY,1/21/03 0:00,FETZER GYM ROBERT A UNC,1/21/03 0:00,4,,
2003000594,CALLS FOR SERVICE,1/21/03 10:10,RALEIGH ST,1/9/03 0:00,2,,
2003001471,CALLS FOR SERVICE,1/22/03 0:00,COBB UNC,1/22/03 0:00,2,,
2003001496,RESIST ARREST,1/22/03 0:00,CHASE UNC/,8/26/02 10:36,2,,
2003001510,EMS ASSIST,1/22/03 0:00,TATE TURNER KURALT BLG UNC,1/22/03 0:00,2,,
2003001525,LARCENY FROM A VEHICLE,1/22/03 0:00,UPPER PVA @ MANNING LOT,1/22/03 0:00,3,C,
2003001548,LARCENY/MISDEMEANOR,1/22/03 0:00,LENOIR UNC,1/22/03 0:00,3,U,
2003002086,ASSAULT SIMPLE - ALL OTHER,1/22/03 0:00,JACKSON CIR,1/16/03 0:00,3,2,
2003001507,LARCENY FROM A VEHICLE,1/22/03 12:41,S-11 MANNING PARKING LOT,1/22/03 0:00,3,C,
2003001579,LARCENY - MISDEMEANOR,1/23/03 0:00,FETZER GYM ROBERT A UNC,1/22/03 0:00,3,U,
2003001594,LARCENY - MISDEMEANOR,1/23/03 0:00,GREENLAW UNC,12/16/02 0:00,2,,
2003001662,PROPERTY DAMAGE,1/24/03 0:00,HWY 4O NEAR DURHAM,1/23/03 0:00,2,,
2003001664,PROPERTY DAMAGE,1/24/03 0:00,AMBULATORY CARE CENTER UNC,1/23/03 0:00,2,,
2003001666,PROPERTY DAMAGE,1/24/03 0:00,S HWY 54,1/23/03 0:00,2,,
2003001669,PROPERTY DAMAGE,1/24/03 0:00,HWY 40 NEAR DURHAM,1/23/03 0:00,2,,
2003001674,CALLS FOR SERVICE,1/24/03 0:00,MURPHEY UNC,1/24/03 0:00,2,,
2003001656,PROPERTY DAMAGE,1/24/03 7:38,AREA THREE SUB-STATION,1/24/03 0:38,2,,
2003001689,LARCENY FROM A VEHICLE,1/24/03 15:46,HA II DOGWOOD PARKING UNC,1/22/03 16:30,2,,
2003001766,MV THEFT - AUTOMOBILE,1/25/03 0:00,UNC EMERGENCY / PVA,1/25/03 0:00,4,,
2003001773,LARCENY - MISDEMEANOR,1/25/03 0:00,MANNING DR,1/25/03 0:00,2,,
2003001762,LARCENY FROM A VEHICLE,1/25/03 16:07,HA II DOGWOOD PARKING UNC,1/16/03 15:00,4,,
2003001817,LARCENY/MISDEMEANOR,1/26/03 0:00,MANNING UNC,1/26/03 0:00,2,,
2003001826,ALL OTHER - HARASSING PHONE CALLS,1/26/03 0:00,MORRISON UNC,10/1/02 0:00,2,,
